Date,Time,City,Population,Result,NormalizedResult
2024-05-25,15:00,München,1487708,[ 17.  31.  69.  93.  78.  61. 101.  59.  59.  53.  66.  24.  21.],"[0.023224043715846996, 0.04234972677595628, 0.0942622950819672, 0.12704918032786885, 0.10655737704918032, 0.08333333333333333, 0.13797814207650272, 0.08060109289617487, 0.08060109289617487, 0.07240437158469945, 0.09016393442622951, 0.03278688524590164, 0.028688524590163935]"
2024-05-25,18:00,München,1487708,[ 93.  78.  61. 101.  59.  59.  53.  66.  24.  21.  18.   9.   3.],"[0.14418604651162792, 0.12093023255813953, 0.09457364341085271, 0.15658914728682172, 0.09147286821705426, 0.09147286821705426, 0.08217054263565891, 0.10232558139534884, 0.037209302325581395, 0.03255813953488372, 0.027906976744186046, 0.013953488372093023, 0.004651162790697674]"
2024-05-25,21:00,München,1487708,[101.  59.  59.  53.  66.  24.  21.  18.   9.   3.   3.   0.   0.],"[0.24278846153846154, 0.14182692307692307, 0.14182692307692307, 0.12740384615384615, 0.15865384615384615, 0.057692307692307696, 0.05048076923076923, 0.04326923076923077, 0.021634615384615384, 0.007211538461538462, 0.007211538461538462, 0.0, 0.0]"
2024-05-26,15:00,München,1487708,[ 21.  37.  41.  40.  32.  22.  63.  72. 121. 123. 150. 141.  72.],"[0.022459893048128343, 0.039572192513368985, 0.04385026737967915, 0.0427807486631016, 0.034224598930481284, 0.023529411764705882, 0.06737967914438503, 0.07700534759358289, 0.12941176470588237, 0.13155080213903744, 0.16042780748663102, 0.15080213903743314, 0.07700534759358289]"
2024-05-26,18:00,München,1487708,[ 40.  32.  22.  63.  72. 121. 123. 150. 141.  72.  75.  81.  14.],"[0.039761431411530816, 0.03180914512922465, 0.02186878727634195, 0.06262425447316103, 0.07157057654075547, 0.12027833001988071, 0.12226640159045726, 0.14910536779324055, 0.14015904572564614, 0.07157057654075547, 0.07455268389662027, 0.0805168986083499, 0.013916500994035786]"
2024-05-26,21:00,München,1487708,[ 63.  72. 121. 123. 150. 141.  72.  75.  81.  14.   6.   3.   1.],"[0.06832971800433839, 0.07809110629067245, 0.13123644251626898, 0.1334056399132321, 0.16268980477223427, 0.15292841648590022, 0.07809110629067245, 0.08134490238611713, 0.0878524945770065, 0.015184381778741865, 0.006507592190889371, 0.0032537960954446853, 0.0010845986984815619]"
2024-05-27,15:00,München,1487708,[37. 30. 38. 34. 42. 37. 46. 60. 51. 33. 12. 10.  2.],"[0.08564814814814815, 0.06944444444444445, 0.08796296296296297, 0.0787037037037037, 0.09722222222222222, 0.08564814814814815, 0.10648148148148148, 0.1388888888888889, 0.11805555555555555, 0.0763888888888889, 0.027777777777777776, 0.023148148148148147, 0.004629629629629629]"
2024-05-27,18:00,München,1487708,[34. 42. 37. 46. 60. 51. 33. 12. 10.  2.  5.  3.  2.],"[0.10089020771513353, 0.12462908011869436, 0.10979228486646884, 0.13649851632047477, 0.17804154302670624, 0.1513353115727003, 0.09792284866468842, 0.03560830860534125, 0.02967359050445104, 0.005934718100890208, 0.01483679525222552, 0.008902077151335312, 0.005934718100890208]"
2024-05-27,21:00,München,1487708,[46. 60. 51. 33. 12. 10.  2.  5.  3.  2.  1.  1.  0.],"[0.20353982300884957, 0.26548672566371684, 0.22566371681415928, 0.14601769911504425, 0.05309734513274336, 0.04424778761061947, 0.008849557522123894, 0.022123893805309734, 0.01327433628318584, 0.008849557522123894, 0.004424778761061947, 0.004424778761061947, 0.0]"
2024-05-28,15:00,München,1487708,[28. 17. 32. 53. 24. 33. 39. 51. 33. 23.  9.  9.  8.],"[0.07799442896935933, 0.04735376044568245, 0.08913649025069638, 0.14763231197771587, 0.06685236768802229, 0.09192200557103064, 0.10863509749303621, 0.14206128133704735, 0.09192200557103064, 0.06406685236768803, 0.025069637883008356, 0.025069637883008356, 0.022284122562674095]"
